## Diff [ mockv1.0.0 ~ autotools ]
## Diff test01

| No. | Status | File | Plus | Minus | Type |
| 219 | M | Conf/FES_Maven_Archetype/Service/service-bl-api/pom.xml | 35 | 35 | Maven |
| 220 | M | Conf/FES_Maven_Archetype/Service/service-bl-mbl/pom.xml | 146 | 146 | Maven |
| 221 | M | Conf/FES_Maven_Archetype/Service/service-bl-pc/pom.xml | 146 | 146 | Maven |
| 222 | M | Conf/FES_Maven_Archetype/Service/service-bl-resources/pom.xml | 26 | 26 | Maven |
| 223 | M | Conf/FES_Maven_Archetype/Service/service-bl-sp/pom.xml | 147 | 147 | Maven |
| 224 | M | Conf/FES_Maven_Archetype/Service/service-bl/pom.xml | 74 | 74 | Maven |
| 225 | M | Conf/FES_Maven_Archetype/Service/service-common/pom.xml | 36 | 36 | Maven |
| 226 | M | Conf/FES_Maven_Archetype/Service/service-pl-mbl/pom.xml | 98 | 98 | Maven |
| 227 | M | Conf/FES_Maven_Archetype/Service/service-pl-pc/pom.xml | 98 | 98 | Maven |
| 228 | M | Conf/FES_Maven_Archetype/Service/service-pl-sp/pom.xml | 98 | 98 | Maven |
| 229 | M | Conf/FES_Maven_Archetype/Service/service-pl/pom.xml | 68 | 68 | Maven |
| 230 | M | Conf/FES_Maven_Archetype/Service/service-properties-mbl/pom.xml | 36 | 36 | Maven |
| 231 | M | Conf/FES_Maven_Archetype/Service/service-properties-pc/pom.xml | 26 | 26 | Maven |
| 232 | M | Conf/FES_Maven_Archetype/Service/service-properties-sp/pom.xml | 36 | 36 | Maven |
| 233 | A | Conf/FES_Maven_Settings/maven-repo-list.txt | 3 | 0 | App |
| 234 | A | Conf/FES_Maven_Settings/settings-docker.xml | 12 | 0 | App |
| 235 | A | Conf/FES_Maven_Settings/settings-template.xml | 257 | 0 | App |
| 236 | A | autoscripts/console.bat | 69 | 0 | App |
| 237 | A | autoscripts/mr_maker.sh | 184 | 0 | App |
| 238 | A | autoscripts/pom_versioner.sh | 57 | 0 | App |
| 239 | M | pom.xml | 66 | 66 | Maven |
